Comment,Designator,Footprint,LCSC,Quantity
100nF X7R,"C2,C3,C6",C_0603_1608Metric,C14663,3
MCP1700x-180xxTT,U2,SOT-23,C20627192,1
2M,R1,C_0603_1608Metric,C22976,1
1uF X7R,"C8,C9",C_0603_1608Metric,C28323,2
3.3uF/25v,C7,C_0603_1608Metric,C342962,1
10nF X7R,"C1,C4",C_0603_1608Metric,C57112,2
10uF X7R,C5,C_0603_1608Metric,C96446,1
BATT,BT1,JST_S2B-PH-SM4-TB,,1
~,U1,XIAO_nRF52840_wBAT_wNFC_1,,1
SW_SPDT,SW21,TGSW_MSK-12D19,,1
RotaryEncoder,SW4,RotaryEncoder_EC12E,,1
SW_PUSH,SW3,MX_Choc_v1v2_Hotswap_1u,,1
SW_PUSH,SW2,MX_Choc_v1v2_Hotswap_1u,,1
SW_PUSH,SW1,MX_Choc_v1v2_Hotswap_1u,,1
~,pmw3610,PMW3610DM-SUDU,,1
D,D3,Diode_TH_SMD,,1
D,D2,Diode_TH_SMD,,1
D,D1,Diode_TH_SMD,,1
